rank,symbol,name,price,percent_change_24h,percent_change_7d,percent_change_30d,market_cap,volume_24h,galaxy_score,galaxy_score_previous,alt_rank,alt_rank_previous,social_volume_24h,social_dominance,market_dominance,sentiment,signal
"1","BTY","Bityuan","0.05976034006126091","-9.619453720851","-13.258867930968","-21.170393888726","43957308","630881.97","100","49","5337","1278","2","0.0005417235476391687","0.001995306685441626","","sell"
"2","ADCO","Advertise Coin","0.354767","-0.13541435382806974","0","","15964526","5087.5","100","100","4995","2393","1","0.00027086177381958437","0.0007246605151003936","","hold"
"3","SN77","Liquidity","2.28","32.16519240769992","84.49945263085749","","10697461","523952","100","100","2900","","0","0","0.0004855783127244975","","hold"
"4","GVNR","GVNR","0.55681","0.0022500000000113918","-9.477383525049355","","8865937","14.8","100","100","4910","2295","1","0.00027086177381958437","0.0004024419186180434","","hold"
"5","AIOT","OKZOO","0.07325577494201382","19.248177728996","46.147230492825","-17.850427144843","19429496","3923089.36","88.8","71","43","1513","66","0.017876877072092567","0.0008819421622352606","95","buy"
"6","TAO","Bittensor","266.2073632896219","23.964146299466","33.684891301786","-12.950767824532","2547136894","689839121.23","87","54","1","131","2970","0.8044594682441656","0.11561943860013486","81","buy"
"7","NIL","Nillion","0.03856762","-1.267388644873486","-1.9427348917476197","","18052232","19261109","86","38","1104","107","290","0.07854991440767947","0.0008194255025067333","39","hold"
"8","EDGE","EdgeX","0.415221","-4.826431266254863","-10.459699131975514","","145304262","15232317","80.7","68","1940","558","36","0.009751023857505037","0.006595639691851956","83","hold"
"9","ICP","Internet Computer","2.4401624668185713","3.259993629403","3.5160257216","-13.638439525741","1350355513","135097520.58","79.6","68","48","22","1279","0.34643220871524844","0.06129523179198908","64","buy"
"10","NMR","Numeraire","8.449054806420804","0.515864989972","3.648345138023","-6.629280854312","59529199","3250240.62","79.1","58","676","892","32","0.0086675767622267","0.002702144743342448","100","hold"
"11","PUMPCADE","PUMPCADE","0.01762363","-6.8018738115570425","17.890274598500607","","17643509","619761","79.1","90","1929","364","60","0.01625170642917506","0.0008008727800699145","97","sell"
"12","COAI","ChainOpera AI","0.399799","13.041512417369574","80.70664368974398","","74953798","135178858","77.8","73","5","6","1034","0.28007107412945026","0.003402296934303646","59","hold"
"13","XCN","Onyxcoin","0.004036376347366941","4.263816129868","8.204288075816","-21.06475942262","154500949","9282366.73","77.3","49","68","550","347","0.09398903551539578","0.007013094988591559","31","hold"
"14","PHA","PHALA","0.03547743511625638","5.527311673516","11.245147125953","2.25519497794","29766874","34882408.2","77.2","49","42","620","242","0.06554854926433942","0.001351175615597263","49","hold"
"15","SYN","Synapse","0.04014080869798308","27.930466100581","-3.727958886659","-26.795089035635","8742744","13321130.04","77.2","74","29","689","84","0.02275238900084509","0.0003968499516008728","81","buy"
"16","USD1","World Liberty Financial USD","1.0002450503561655","0.000529013302","0.073000772137","0.078613527171","4349338407.85","1377535132.24","76.3","60","729","197","104","0.028169624477236775","0.19742132718256572","100","hold"
"17","ELSA","Elsa","0.04842425","2.953150256755546","8.016878661395827","","11087223","2379370","76.1","65","277","489","21","0.005688097250211272","0.0005032703589328572","92","hold"
"18","FET","Fetch","0.21038548924503275","11.535904551272","1.114761534439","-1.386943712162","476710078","193734578.69","75.8","58","7","683","507","0.13732691932652927","0.021638786561970512","67","buy"
"19","RIF","Rootstock Infrastructure Framework","0.11273101638519056","31.046308755984","71.063681640152","57.512452724864","112731016.39","30731175.8","74.7","72","9","61","241","0.06527768749051983","0.005114509026924706","57","hold"
"20","NOCK","Nockchain","0.042106561060813556","12.242385038093","10.832696898929","117.52639927601","91648132","1943037.7","74.6","55","28","995","270","0.07313267893128779","0.004160084837038623","88","buy"
"21","BONK","Bonk","0.000004499299948427662","1.409808288932","4.163516147431","-34.791299459736","395513106","29020481.46","74.4","44","197","323","953","0.25813127045006395","0.017953099961935393","66","hold"
"22","XPIN","XPIN Token","0.0012962508528048906","5.373315583273","8.418005250544","-10.852873227705","20085995","8450720.19","74.3","52","188","1562","50","0.013543088690979218","0.0009117419134776649","91","hold"
"23","GOHOME","GOHOME","77.6621361548625","1.558934031219","4.783857301965","-11.72411912847","40483063","489427.43","74","78","612","590","38","0.010292747405144206","0.0018376040282324503","82","hold"
"24","COQ","Cut Or Quit","1.1067295000052854e-7","-2.453338706721","27.228909107803","-32.861272692544","7690214","1191653.82","73.9","57","1877","449","172","0.04658822509696852","0.00034907359219260613","82","hold"
"25","ATM","Automatic Treasury Machine","1.0553928206369072","5.947725670049","18.902673415238","0.32573071124","8924331","5006997.97","73.1","75","138","254","33","0.008938438536046284","0.0004050925344971978","88","hold"
"26","TIG","The Innovation Game","1.009299718973973","16.215393993959","-5.254799212839","-26.877151942418","29934152","583867.29","72.9","66","59","416","127","0.03439944527508722","0.0013587686854851485","81","hold"
"27","SPX","SPX6900","0.3354781395329495","4.52589612778","9.298783250625","-22.170151018059","314057161","5552903.47","72.5","38","37","774","877","0.23754577563977552","0.01425565807974676","81","buy"
"28","ANKR","Ankr Network","0.003966189871047466","2.006980732929","2.252730306718","-21.772039755584","39676706","5263513.48","72.4","31","579","1589","28","0.007584129666948362","0.0018010019343791903","60","hold"
"29","AKT","Akash Network","0.7503959712765876","22.208724446202","22.487868317966","-8.411515373676","219423802","14830665.52","72.1","31","10","753","327","0.0885718000390041","0.009960068052293365","54","hold"
"30","ALGO","Algorand","0.09245195047756548","6.039986512239","-1.444213462872","-22.253910283669","827069370","33225763.65","71.9","59","26","520","511","0.13841036642180762","0.03754226813172894","53","hold"
"31","YELLOW","YELLOW","0.060173","0.693422957508723","14.256888662345753","","11669631","1010070","71.8","75","663","401","61","0.016522568202994647","0.0005297069773002669","84","hold"
"32","CAW2","A Hunters Dream","3.4814593346470506e-8","2.607958323162","8.994218845558","-0.482709395622","22204007","396993.62","71.6","61","500","2018","30","0.00812585321458753","0.0010078825484648116","100","hold"
"33","WBTC","Wrapped Bitcoin","64469.81583643043","1.295850965245","5.178819013112","-20.398881695177","9351180560.98","97285048.63","71.2","51","368","586","86","0.02329411254848426","0.42446805637176793","42","hold"
"34","LIT","Lighter","1.6028944578530249","4.95077020417","11.441952768261","75.639061892464","404611500","36868376.38","71.2","29","35","573","411","0.11132418903984917","0.018366093550509607","48","hold"
"35","ZETA","ZetaChain","0.03856614716031749","0.552585662242","4.88392941722","-31.236033795193","56335083","3948548.17","71.1","68","387","741","739","0.20016685085267288","0.0025571576797835042","77","hold"
"36","XCH","Chia","2.1547899424747374","7.82157414148","5.675413010545","-13.700721539506","40063428","1731628.82","71.1","29","80","1040","227","0.06148562265704565","0.0018185559891454048","13","hold"
"37","METAL","Metal Blockchain","0.132366569117366","1.833675003272","2.620441220256","-16.29773454361","67939805","504986.44","71","73","343","744","75","0.02031463303646883","0.0030839183128343614","88","hold"
"38","LMTS","Limitless","0.08709306600506289","1.187103818723","-12.410619347716","-40.3004478961","11463957","2228225.5","70.7","62","492","1731","39","0.010563609178963792","0.0005203710391845498","75","hold"
"39","TIA","Celestia","0.3452531268079363","5.242007747946","11.38406732329","-25.397341480499","320837864","29765015.96","70.4","61","18","116","2473","0.6698411666558322","0.014563447219789052","87","buy"
"40","OPG","OpenGradient","0.17976","13.955818000100384","14.39006285934736","","34090602","37875940","70.3","54","19","148","207","0.05606838718065397","0.001547437938677447","45","hold"
"41","USDP","Pax Dollar","0.9995054661694515","0.00101902281","0.054037459234","0.026027790176","31936311","5041869.89","70.3","58","812","400","99","0.026815315608138858","0.0014496505301608306","80","hold"
"42","GOMINING","Gomining","0.2790136049243494","2.403912133422","7.774539883175","-4.835421004373","112795939.44","10675508.48","69.9","61","113","16","398","0.10780298598019458","0.005128038091928283","87","hold"
"43","UB","Unibase","0.12910458191317434","-0.529186131941","14.711004737464","-44.163476316057","325929879","10923598.03","69.7","33","976","984","164","0.04442133090641184","0.014794583566261156","41","hold"
