rank,symbol,name,price,percent_change_24h,percent_change_7d,percent_change_30d,market_cap,volume_24h,galaxy_score,galaxy_score_previous,alt_rank,alt_rank_previous,social_volume_24h,social_dominance,market_dominance,sentiment,signal
"1","ADCO","Advertise Coin","0.354767","-0.13541435382806974","0","","15964526","5087.5","100","100","5290","2393","1","0.00028167665210398373","0.0007287151723456007","","hold"
"2","SN77","Liquidity","2.01","-2.53107743481294","67.07962607454185","","9400351","876157","100","100","5693","","0","0","0.00042908749054460746","","hold"
"3","GVNR","GVNR","0.55681","0.0022500000000113918","-9.477383525049355","","8865937","14.8","100","100","4823","2295","1","0.00028167665210398373","0.00040469368203980736","","hold"
"4","NIL","Nillion","0.0413388","0.5680239134497784","2.494498440370281","","19285751","18176446","89.7","68","172","77","345","0.0971784449758744","0.0008803154796941257","48","hold"
"5","TAO","Bittensor","262.65229871227007","1.093007533191","25.408710768629","","2516567310","655941722.58","87","88","59","1","3355","0.9450251678088655","0.1148709821404002","80","hold"
"6","JELLYJELLY","jelly-my-jelly","0.07220412374841186","23.612396707998","24.414661721653","","73824995","10281351.04","86.8","46","107","1679","42","0.011830419388367317","0.0033698084086453994","80","hold"
"7","SPK","Spark","0.0195365189318295","0.11799616734","2.825741262687","","54645406","15320591.56","83.3","32","877","1101","31","0.008731976215223498","0.0024943387890868367","80","hold"
"8","BLUAI","Bluwhale AI","0.0142215611552125","10.416","1.068319636067837","","17464077.1","695612.54","83.2","39","25","423","236","0.06647568989654017","0.0007971635333102504","55","hold"
"9","AIOT","OKZOO","0.07996466063913331","7.656010718822","47.012238941425","","21149447","5561105.48","82.3","86","36","155","76","0.021407425559902764","0.0009653855626918799","92","buy"
"10","EIGEN","Eigenlayer","0.195166","5.582471581738859","14.201867489112866","","144488015","30294649","77.8","65","24","100","232","0.06534898328812423","0.006595285619666925","40","hold"
"11","XCN","Onyxcoin","0.003936011369290304","0.493714166561","4.201744821961","","151400471","9136472.28","77.3","62","203","125","356","0.10027688814901821","0.006910810901493105","32","hold"
"12","SYN","Synapse","0.03920454808573216","22.946632370713","-1.887371514951","","8755297","24696796","77.2","73","11","185","121","0.03408287490458203","0.0003996434195598366","79","buy"
"13","XION","XION","0.11638009191602677","-2.494863133631","-2.008621511851","","8322202","3264588.66","73.7","45","2662","1507","35","0.009858682823639432","0.00037987440809234815","67","hold"
"14","CAT","Simons Cat","0.0000014941727102375145","-1.611362403398","-1.149155140068","","10107698","2138899.76","73.1","46","2221","731","104","0.02929437181881431","0.0004613749816366163","98","hold"
