path,bytes,mtime_epoch
00 - Inbox/OCTOPUS-OWNER-BOARD-2026-08-24/CURRENT-TRUTH.md,360,1788940284.9707916
01 - Dashboard/OCTOPUS-OWNER-BOARD/CURRENT-TRUTH.md,360,1788940288.621841
01-TRUTH/CURRENT-TRUTH.md,4337,1789545037.5854063
06-EVIDENCE/FUGU-BIZ-SPRINT-2026-08-24/OWNER-BOARD/CURRENT-TRUTH.md,360,1788940378.6283479
06-EVIDENCE/FUGU-BIZ-SPRINT-2026-08-24/cockpit/CURRENT-TRUTH.md,360,1788940378.6476068
06-EVIDENCE/OCTOPUS-HANDOFF-MERGE-2026-08-22/merged/CURRENT-TRUTH.md,745,1788940417.4838521
06-EVIDENCE/OCTOPUS-OWNER-BOARD-2026-08-24/CURRENT-TRUTH.md,92072,1789597800.8455002
07-HANDOFF/OCTOPUS-OWNER-BOARD-2026-08-24/CURRENT-TRUTH.md,360,1788940493.2602904
OCTOPUS/CURRENT-TRUTH.md,39610,1789602089.8491976
_worktrees/ign2-pathology-slice-guard/01-TRUTH/CURRENT-TRUTH.md,4124,1788942535.1496124
_worktrees/ign2-pathology-slice-guard/OCTOPUS/CURRENT-TRUTH.md,13486,1788942687.6326487
agent-prompts/OCTOPUS-OWNER-BOARD-2026-08-24/CURRENT-TRUTH.md,360,1788940596.6276567
