repo_path(ofn-node@dba9971),vs F:/backup same-path,note1,note2
06-EVIDENCE/VAULT-SCAN-F-DRIVE-2026-09-02.md,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/e8-unittest.err,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/e8-unittest.exit,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/e8-unittest.out,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/git-diff-check.txt,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/git-status-final.txt,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/import-origins-from-cwd.txt,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/import-origins.txt,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/outbox-recent-ids.txt,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/outbox-status-counts.txt,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/p1-full-suite.exit,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/p1-full-suite.out,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/p1-parity-report.json,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/p1-post-fix.exit,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/p1-post-fix.out,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/p1-real-red.exit,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/p1-real-red.out,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/p1-real-red2.exit,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/p1-real-red2.out,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/p1-shadow-v2-response.json,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/p1-targeted-green.exit,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/p1-targeted-green.out,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/process-cmdline.txt,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/process-cwd.txt,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/process-exe.txt,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/process-pid.txt,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/process-start.txt,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/runtime-tree-branch.txt,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/runtime-tree-head.txt,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/runtime-tree-remotes.txt,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/runtime-tree-status.txt,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/source-mtime-compare.txt,vault_missing,,
06-EVIDENCE/runtime-provenance-20260828T230743Z/source-sha256.txt,vault_missing,,
